"","Time","Prey","startN","mL","mQ","implicitMortality","TotalPredMort","PRM","species","predation.mortality"
"213","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","ZM",3.881776e-08
"214","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","ZM",0
"215","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","ZM",9.425554e-08
"216","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","ZM",0
"217","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","ZS",3.297383e-07
"218","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","ZS",0
"219","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","ZS",7.851985e-10
"220","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","ZS",0
"221","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","PB",0
"222","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","PB",0
"223","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","PB",0
"224","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","PB",0
"225","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BB",0
"226","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BB",0
"227","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BB",0
"228","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BB",0
"229","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","BO",0
"230","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","BO",0
"231","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","BO",0
"232","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","BO",0
"233","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","DL",0
"234","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","DL",0
"235","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","DL",0
"236","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","DL",0
"237","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","DR",0
"238","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","DR",0
"239","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","DR",0
"240","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","DR",0
"241","1.971000e+004","PB",645420800000,0,0,0,1.802327e-06,"PRM46","DC",0
"242","1.971000e+004","PB",6.3774e+11,0,0,0,0,"PRM46","DC",0
"243","1.971000e+004","PB",593420100000,0,0,0,6.312777e-05,"PRM55","DC",0
"244","1.971000e+004","PB",584493900000,0,0,0,0,"PRM55","DC",0
